 F		 G
 9.77237221e+03  3.30571882e+00 
 1.00000000e+04  2.82888649e+00 
 1.02329299e+04  2.35196269e+00 
 1.04712855e+04  1.87559979e+00 
 1.07151931e+04  1.40039834e+00 
 1.09647820e+04  9.26909762e-01 
 1.12201845e+04  4.55636567e-01 
 1.14815362e+04 -1.29631489e-02 
 1.17489755e+04 -4.78471279e-01 
 1.20226443e+04 -9.40509682e-01 
 1.23026877e+04 -1.39873627e+00 
 1.25892541e+04 -1.85284091e+00 
 1.28824955e+04 -2.30254231e+00 
 1.31825674e+04 -2.74758655e+00 
 1.34896288e+04 -3.18774337e+00 
 1.38038426e+04 -3.62280399e+00 
 1.41253754e+04 -4.05257807e+00 
 1.44543977e+04 -4.47689327e+00 
 1.47910839e+04 -4.89559168e+00 
 1.51356125e+04 -5.30852829e+00 
 1.54881662e+04 -5.71557113e+00 
 1.58489319e+04 -6.11659788e+00 
 1.62181010e+04 -6.51149597e+00 
 1.65958691e+04 -6.90016145e+00 
 1.69824365e+04 -7.28249716e+00 
 1.73780083e+04 -7.65841371e+00 
 1.77827941e+04 -8.02782865e+00 
 1.81970086e+04 -8.39066446e+00 
 1.86208714e+04 -8.74684960e+00 
 1.90546072e+04 -9.09631890e+00 
 1.94984460e+04 -9.43901288e+00 
 1.99526231e+04 -9.77487535e+00 
 2.04173794e+04 -1.01038572e+01 
 2.08929613e+04 -1.04259158e+01 
 2.13796209e+04 -1.07410112e+01 
 2.18776162e+04 -1.10491128e+01 
 2.23872114e+04 -1.13501932e+01 
 2.29086765e+04 -1.16442334e+01 
 2.34422882e+04 -1.19312184e+01 
 2.39883292e+04 -1.22111420e+01 
 2.45470892e+04 -1.24840035e+01 
 2.51188643e+04 -1.27498095e+01 
 2.57039578e+04 -1.30085729e+01 
 2.63026799e+04 -1.32603153e+01 
 2.69153480e+04 -1.35050634e+01 
 2.75422870e+04 -1.37428522e+01 
 2.81838293e+04 -1.39737233e+01 
 2.88403150e+04 -1.41977259e+01 
 2.95120923e+04 -1.44149156e+01 
 3.01995172e+04 -1.46253548e+01 
 3.09029543e+04 -1.48291119e+01 
 3.16227766e+04 -1.50262633e+01 
 3.23593657e+04 -1.52168888e+01 
 3.31131121e+04 -1.54010758e+01 
 3.38844156e+04 -1.55789164e+01 
 3.46736850e+04 -1.57505080e+01 
 3.54813389e+04 -1.59159519e+01 
 3.63078055e+04 -1.60753539e+01 
 3.71535229e+04 -1.62288232e+01 
 3.80189396e+04 -1.63764739e+01 
 3.89045145e+04 -1.65184208e+01 
 3.98107171e+04 -1.66547830e+01 
 4.07380278e+04 -1.67856804e+01 
 4.16869383e+04 -1.69112357e+01 
 4.26579519e+04 -1.70315724e+01 
 4.36515832e+04 -1.71468153e+01 
 4.46683592e+04 -1.72570892e+01 
 4.57088190e+04 -1.73625197e+01 
 4.67735141e+04 -1.74632321e+01 
 4.78630092e+04 -1.75593522e+01 
 4.89778819e+04 -1.76510043e+01 
 5.01187234e+04 -1.77383123e+01 
 5.12861384e+04 -1.78213990e+01 
 5.24807460e+04 -1.79003865e+01 
 5.37031796e+04 -1.79753950e+01 
 5.49540874e+04 -1.80465438e+01 
 5.62341325e+04 -1.81139498e+01 
 5.75439937e+04 -1.81777294e+01 
 5.88843655e+04 -1.82379963e+01 
 6.02559586e+04 -1.82948630e+01 
 6.16595002e+04 -1.83484398e+01 
 6.30957344e+04 -1.83988357e+01 
 6.45654229e+04 -1.84461574e+01 
 6.60693448e+04 -1.84905100e+01 
 6.76082975e+04 -1.85319969e+01 
 6.91830971e+04 -1.85707197e+01 
 7.07945784e+04 -1.86067782e+01 
 7.24435960e+04 -1.86402707e+01 
 7.41310241e+04 -1.86712938e+01 
 7.58577575e+04 -1.86999428e+01 
 7.76247117e+04 -1.87263111e+01 
 7.94328235e+04 -1.87504910e+01 
 8.12830516e+04 -1.87725732e+01 
 8.31763771e+04 -1.87926473e+01 
