 F		G
 1.09647820e+03 -1.94495902e+01 
 1.12201845e+03 -1.96529001e+01 
 1.14815362e+03 -1.98565641e+01 
 1.17489755e+03 -2.00605869e+01 
 1.20226443e+03 -2.02649818e+01 
 1.23026877e+03 -2.04697440e+01 
 1.25892541e+03 -2.06748882e+01 
 1.28824955e+03 -2.08804232e+01 
 1.31825674e+03 -2.10863573e+01 
 1.34896288e+03 -2.12926953e+01 
 1.38038426e+03 -2.14994485e+01 
 1.41253754e+03 -2.17066280e+01 
 1.44543977e+03 -2.19142446e+01 
 1.47910839e+03 -2.21223093e+01 
 1.51356125e+03 -2.23308326e+01 
 1.54881662e+03 -2.25398268e+01 
 1.58489319e+03 -2.27493054e+01 
 1.62181010e+03 -2.29592834e+01 
 1.65958691e+03 -2.31697694e+01 
 1.69824365e+03 -2.33807825e+01 
 1.73780083e+03 -2.35923321e+01 
 1.77827941e+03 -2.38044359e+01 
 1.81970086e+03 -2.40171092e+01 
 1.86208714e+03 -2.42303651e+01 
 1.90546072e+03 -2.44442212e+01 
 1.94984460e+03 -2.46586917e+01 
 1.99526231e+03 -2.48737958e+01 
 2.04173794e+03 -2.50895475e+01 
 2.08929613e+03 -2.53059634e+01 
 2.13796209e+03 -2.55230595e+01 
 2.18776162e+03 -2.57408543e+01 
 2.23872114e+03 -2.59593621e+01 
 2.29086765e+03 -2.61786019e+01 
 2.34422882e+03 -2.63985879e+01 
 2.39883292e+03 -2.66193370e+01 
 2.45470892e+03 -2.68408653e+01 
 2.51188643e+03 -2.70631882e+01 
 2.57039578e+03 -2.72863197e+01 
 2.63026799e+03 -2.75102756e+01 
 2.69153480e+03 -2.77350697e+01 
 2.75422870e+03 -2.79607153e+01 
 2.81838293e+03 -2.81872240e+01 
 2.88403150e+03 -2.84146081e+01 
 2.95120923e+03 -2.86428791e+01 
 3.01995172e+03 -2.88720456e+01 
 3.09029543e+03 -2.91021158e+01 
 3.16227766e+03 -2.93330989e+01 
 3.23593657e+03 -2.95649993e+01 
 3.31131121e+03 -2.97978227e+01 
 3.38844156e+03 -3.00315708e+01 
 3.46736850e+03 -3.02662471e+01 
 3.54813389e+03 -3.05018511e+01 
 3.63078055e+03 -3.07383804e+01 
 3.71535229e+03 -3.09758322e+01 
 3.80189396e+03 -3.12142016e+01 
 3.89045145e+03 -3.14534810e+01 
 3.98107171e+03 -3.16936623e+01 
 4.07380278e+03 -3.19347347e+01 
 4.16869383e+03 -3.21766854e+01 
 4.26579519e+03 -3.24194995e+01 
 4.36515832e+03 -3.26631608e+01 
 4.46683592e+03 -3.29076513e+01 
 4.57088190e+03 -3.31529506e+01 
 4.67735141e+03 -3.33990373e+01 
 4.78630092e+03 -3.36458869e+01 
 4.89778819e+03 -3.38934756e+01 
 5.01187234e+03 -3.41417753e+01 
 5.12861384e+03 -3.43907586e+01 
 5.24807460e+03 -3.46403962e+01 
 5.37031796e+03 -3.48906565e+01 
 5.49540874e+03 -3.51415096e+01 
 5.62341325e+03 -3.53929216e+01 
 5.75439937e+03 -3.56448601e+01 
 5.88843655e+03 -3.58972914e+01 
 6.02559586e+03 -3.61501810e+01 
 6.16595002e+03 -3.64034956e+01 
 6.30957344e+03 -3.66572014e+01 
 6.45654229e+03 -3.69112636e+01 
 6.60693448e+03 -3.71656495e+01 
 6.76082975e+03 -3.74203275e+01 
 6.91830971e+03 -3.76752644e+01 
 7.07945784e+03 -3.79304317e+01 
 7.24435960e+03 -3.81857983e+01 
 7.41310241e+03 -3.84413381e+01 
 7.58577575e+03 -3.86970241e+01 
 7.76247117e+03 -3.89528325e+01 
 7.94328235e+03 -3.92087422e+01 
 8.12830516e+03 -3.94647320e+01 
 8.31763771e+03 -3.97207858e+01 
 8.51138038e+03 -3.99768875e+01 
 8.70963590e+03 -4.02330263e+01 
 8.91250938e+03 -4.04891924e+01 
 9.12010839e+03 -4.07453781e+01 
 9.33254301e+03 -4.10015812e+01 
 9.54992586e+03 -4.12578003e+01 
 9.77237221e+03 -4.15140380e+01 
 1.00000000e+04 -4.17703005e+01 
